job_title,job_detail_url,job_listed,company_name,company_link,company_location
"Data Scientist, Intern",https://www.linkedin.com/jobs/view/data-scientist-intern-at-duolingo-3433087225?refId=tTXJhdFqHgTWsD9XFe0GZA%3D%3D&trackingId=wY3To7AQUr1Hkw7kpm3DbQ%3D%3D&position=1&pageNum=0&trk=public_jobs_jserp-result_search-card,2 weeks ago,Duolingo,https://www.linkedin.com/company/duolingo?trk=public_jobs_jserp-result_job-search-card-subtitle,"Pittsburgh, PA"
Data Engineering Intern,https://www.linkedin.com/jobs/view/data-engineering-intern-at-2k-3452898359?refId=tTXJhdFqHgTWsD9XFe0GZA%3D%3D&trackingId=HQD%2FNzkM2JqsBzGKLGo%2Fpw%3D%3D&position=2&pageNum=0&trk=public_jobs_jserp-result_search-card,8 hours ago,2K,https://www.linkedin.com/company/2k-games?trk=public_jobs_jserp-result_job-search-card-subtitle,"Novato, CA"
Junior Data Analyst,https://www.linkedin.com/jobs/view/junior-data-analyst-at-lenovo-3448429856?refId=tTXJhdFqHgTWsD9XFe0GZA%3D%3D&trackingId=JPBgB149IrUjIK9CLO2x6w%3D%3D&position=3&pageNum=0&trk=public_jobs_jserp-result_search-card,8 hours ago,Lenovo,https://cn.linkedin.com/company/lenovo?trk=public_jobs_jserp-result_job-search-card-subtitle,"Morrisville, NC"
Data Analyst,https://www.linkedin.com/jobs/view/data-analyst-at-leadstack-inc-3429483225?refId=tTXJhdFqHgTWsD9XFe0GZA%3D%3D&trackingId=KFcdc1mehKPel6CFMzbIeQ%3D%3D&position=4&pageNum=0&trk=public_jobs_jserp-result_search-card,1 week ago,LeadStack Inc.,https://www.linkedin.com/company/leadstack-inc.?trk=public_jobs_jserp-result_job-search-card-subtitle,United States
Software Engineer (Python),https://www.linkedin.com/jobs/view/software-engineer-python-at-stealth-startup-3427078697?refId=tTXJhdFqHgTWsD9XFe0GZA%3D%3D&trackingId=2hLEySoKrgCgrfQXkAAR1w%3D%3D&position=5&pageNum=0&trk=public_jobs_jserp-result_search-card,1 week ago,Stealth Startup,https://www.linkedin.com/company/stealth-startup-51?trk=public_jobs_jserp-result_job-search-card-subtitle,"New York, NY"
Data Analyst II,https://www.linkedin.com/jobs/view/data-analyst-ii-at-lucid-software-3450727669?refId=tTXJhdFqHgTWsD9XFe0GZA%3D%3D&trackingId=vTxPTcpiKQainb2MtXeUQA%3D%3D&position=6&pageNum=0&trk=public_jobs_jserp-result_search-card,3 weeks ago,Lucid Software,https://www.linkedin.com/company/lucidsoftware?trk=public_jobs_jserp-result_job-search-card-subtitle,"Salt Lake City, UT"
Python Developer,https://www.linkedin.com/jobs/view/python-developer-at-equiliem-3448486072?refId=tTXJhdFqHgTWsD9XFe0GZA%3D%3D&trackingId=5PgT03SBTjwlUYohszuM1g%3D%3D&position=7&pageNum=0&trk=public_jobs_jserp-result_search-card,6 hours ago,Equiliem,https://www.linkedin.com/company/equiliem?trk=public_jobs_jserp-result_job-search-card-subtitle,"Houston, TX"
Python Developer,https://www.linkedin.com/jobs/view/python-developer-at-genpact-3424657455?refId=tTXJhdFqHgTWsD9XFe0GZA%3D%3D&trackingId=RwDn7bZKAzJFIv4bsRFnqw%3D%3D&position=8&pageNum=0&trk=public_jobs_jserp-result_search-card,2 weeks ago,Genpact,https://www.linkedin.com/company/genpact?trk=public_jobs_jserp-result_job-search-card-subtitle,New York City Metropolitan Area
Data Scientist,https://www.linkedin.com/jobs/view/data-scientist-at-hackajob-3433076069?refId=tTXJhdFqHgTWsD9XFe0GZA%3D%3D&trackingId=qgEceekVQKNYvaDXyjY9gg%3D%3D&position=9&pageNum=0&trk=public_jobs_jserp-result_search-card,2 weeks ago,hackajob,https://uk.linkedin.com/company/hackajob?trk=public_jobs_jserp-result_job-search-card-subtitle,New York City Metropolitan Area
Entry Level Python Developer,https://www.linkedin.com/jobs/view/entry-level-python-developer-at-synergisticit-3415233083?refId=tTXJhdFqHgTWsD9XFe0GZA%3D%3D&trackingId=5LztWwXz1l3ccN7lESFBjg%3D%3D&position=10&pageNum=0&trk=public_jobs_jserp-result_search-card,3 weeks ago,SynergisticIT,https://www.linkedin.com/company/synergisticit?trk=public_jobs_jserp-result_job-search-card-subtitle,"Dallas, TX"
Entry Level Python Developer,https://www.linkedin.com/jobs/view/entry-level-python-developer-at-synergisticit-3415228667?refId=tTXJhdFqHgTWsD9XFe0GZA%3D%3D&trackingId=0zOCrETNoev9u3r0t%2BBAAA%3D%3D&position=11&pageNum=0&trk=public_jobs_jserp-result_search-card,3 weeks ago,SynergisticIT,https://www.linkedin.com/company/synergisticit?trk=public_jobs_jserp-result_job-search-card-subtitle,"Philadelphia, PA"
"Analyst, Data and insights (Games)",https://www.linkedin.com/jobs/view/analyst-data-and-insights-games-at-the-new-york-times-3450749380?refId=tTXJhdFqHgTWsD9XFe0GZA%3D%3D&trackingId=ZNip5PBmMEOQwYxWs%2FUl9Q%3D%3D&position=12&pageNum=0&trk=public_jobs_jserp-result_search-card,18 hours ago,The New York Times,https://www.linkedin.com/company/the-new-york-times?trk=public_jobs_jserp-result_job-search-card-subtitle,"New York, NY"
Python Developer,https://www.linkedin.com/jobs/view/python-developer-at-conexus-cfo-it-hr-talent-solutions-3448434475?refId=tTXJhdFqHgTWsD9XFe0GZA%3D%3D&trackingId=aTPoLLJa%2FHAy76ChkOxGCg%3D%3D&position=13&pageNum=0&trk=public_jobs_jserp-result_search-card,8 hours ago,"Conexus (CFO, IT, & HR Talent Solutions)",https://www.linkedin.com/company/conexus-recruiting?trk=public_jobs_jserp-result_job-search-card-subtitle,"Irvine, CA"
Entry Level Python Developer,https://www.linkedin.com/jobs/view/entry-level-python-developer-at-synergisticit-3415232118?refId=tTXJhdFqHgTWsD9XFe0GZA%3D%3D&trackingId=xarjLZLHPb2coeVuXB325A%3D%3D&position=14&pageNum=0&trk=public_jobs_jserp-result_search-card,3 weeks ago,SynergisticIT,https://www.linkedin.com/company/synergisticit?trk=public_jobs_jserp-result_job-search-card-subtitle,"Yonkers, NY"
Software Engineering Intern,https://www.linkedin.com/jobs/view/software-engineering-intern-at-genius-sports-3450730361?refId=tTXJhdFqHgTWsD9XFe0GZA%3D%3D&trackingId=YG49pmyHOOiVZAlXygz7bw%3D%3D&position=15&pageNum=0&trk=public_jobs_jserp-result_search-card,6 hours ago,Genius Sports,https://uk.linkedin.com/company/geniussports?trk=public_jobs_jserp-result_job-search-card-subtitle,"Los Angeles, CA"
Python Developer,https://www.linkedin.com/jobs/view/python-developer-at-raps-consulting-inc-3415233771?refId=tTXJhdFqHgTWsD9XFe0GZA%3D%3D&trackingId=RE%2BLfYi5by4VqHwKAS%2BNeQ%3D%3D&position=16&pageNum=0&trk=public_jobs_jserp-result_search-card,3 weeks ago,RAPS Consulting Inc,https://www.linkedin.com/company/raps-consulting-inc-official?trk=public_jobs_jserp-result_job-search-card-subtitle,"Longmont, CO"
Python Developer,https://www.linkedin.com/jobs/view/python-developer-at-sparibis-3416969892?refId=tTXJhdFqHgTWsD9XFe0GZA%3D%3D&trackingId=r5hIKNVcUy2z3VBoWRfHkw%3D%3D&position=17&pageNum=0&trk=public_jobs_jserp-result_search-card,3 weeks ago,Sparibis,https://www.linkedin.com/company/sparibis?trk=public_jobs_jserp-result_job-search-card-subtitle,"Suitland, MD"
Python Developer,https://www.linkedin.com/jobs/view/python-developer-at-genpact-3421395840?refId=tTXJhdFqHgTWsD9XFe0GZA%3D%3D&trackingId=OMyljdwu4VtzgdwkZegEvw%3D%3D&position=18&pageNum=0&trk=public_jobs_jserp-result_search-card,2 weeks ago,Genpact,https://www.linkedin.com/company/genpact?trk=public_jobs_jserp-result_job-search-card-subtitle,New York City Metropolitan Area
Python Developer,https://www.linkedin.com/jobs/view/python-developer-at-infosys-3422478091?refId=tTXJhdFqHgTWsD9XFe0GZA%3D%3D&trackingId=srYkRjd9nskJWCCNv5A2hw%3D%3D&position=19&pageNum=0&trk=public_jobs_jserp-result_search-card,2 weeks ago,Infosys,https://in.linkedin.com/company/infosys?trk=public_jobs_jserp-result_job-search-card-subtitle,"Charlotte, NC"
Python developer,https://www.linkedin.com/jobs/view/python-developer-at-info-way-solutions-3415218772?refId=tTXJhdFqHgTWsD9XFe0GZA%3D%3D&trackingId=Fsc84%2B8vHkoUaJ9017HqGw%3D%3D&position=20&pageNum=0&trk=public_jobs_jserp-result_search-card,3 weeks ago,Info Way Solutions,https://www.linkedin.com/company/infoway-solutions?trk=public_jobs_jserp-result_job-search-card-subtitle,"Fremont, CA"
Entry Level Python Programmer,https://www.linkedin.com/jobs/view/entry-level-python-programmer-at-synergisticit-3415228769?refId=tTXJhdFqHgTWsD9XFe0GZA%3D%3D&trackingId=SVrv8f0iFXsb9xyPNzpHXA%3D%3D&position=21&pageNum=0&trk=public_jobs_jserp-result_search-card,3 weeks ago,SynergisticIT,https://www.linkedin.com/company/synergisticit?trk=public_jobs_jserp-result_job-search-card-subtitle,"Spokane, WA"
Jr Software Developer,https://www.linkedin.com/jobs/view/jr-software-developer-at-quantifi-inc-3429714574?refId=tTXJhdFqHgTWsD9XFe0GZA%3D%3D&trackingId=aIantEdC%2BaHyCeO6bYNFiA%3D%3D&position=22&pageNum=0&trk=public_jobs_jserp-result_search-card,2 weeks ago,"Quantifi, Inc.",https://www.linkedin.com/company/quantifi-inc-?trk=public_jobs_jserp-result_job-search-card-subtitle,"New York, NY"
